"","GTEX.111VG.0526.SM.5N9BW","GTEX.117XS.0526.SM.5987Q","GTEX.11GSO.0626.SM.5A5LW","GTEX.11NV4.0626.SM.5N9BR","GTEX.132NY.1026.SM.5P9IY","GTEX.13NZ9.1126.SM.5MR37","GTEX.13O21.2226.SM.5MR3L","GTEX.13O3P.0726.SM.5J2OM","GTEX.14ABY.0926.SM.5Q5DY","GTEX.14AS3.0226.SM.5Q5B6","GTEX.14BMU.0226.SM.5S2QA","GTEX.PLZ4.1226.SM.2I5FE","GTEX.R55G.0726.SM.2TC6J","GTEX.WOFL.0726.SM.3MJG4","GTEX.WYBS.1926.SM.3NM8N","GTEX.YFC4.2626.SM.5P9FQ","GTEX.ZLWG.0526.SM.4WWFB","GTEX.ZPCL.0126.SM.4WWC8","GTEX.ZYY3.1926.SM.5GZXS","GTEX.ZZ64.0126.SM.5GZXA"
"ENSG00000250988",200,135,218,229,329,341,215,254,186,252,122,366,69,249,347,548,264,195,181,176
"ENSG00000186628",374,143,201,506,547,632,298,469,294,375,217,556,110,418,410,1099,205,233,304,208
"ENSG00000156232",1448,1376,2034,1969,1663,2286,1674,1734,1368,1308,1387,1873,552,1693,2391,3233,2172,1507,1443,1587
"ENSG00000103942",1571,1403,2899,1474,4230,1439,3282,5211,3302,2191,2518,8605,432,1318,6603,1802,3487,2382,2052,4627
"ENSG00000259805",0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2
"ENSG00000169612",135,125,123,176,240,186,214,135,298,159,183,141,45,114,236,324,340,262,108,258
"ENSG00000169609",532,460,749,784,820,878,853,627,1134,709,523,833,201,757,1214,1254,964,904,642,771
"ENSG00000260608",0,0,0,2,1,0,2,0,2,0,3,0,0,3,6,2,3,0,2,0
"ENSG00000249214",0,2,1,0,2,1,2,0,2,1,5,3,0,1,0,3,0,0,0,3
"ENSG00000064726",2797,2508,3241,3339,4141,3343,3201,3378,6091,2302,2414,4031,745,4432,5147,4899,4727,3659,3626,3988
"ENSG00000259767",6,11,1,12,21,14,16,21,5,13,11,5,6,9,11,32,7,12,3,19
"ENSG00000260351",7,0,0,4,2,0,3,6,2,2,4,3,2,1,1,3,1,3,0,0
"ENSG00000259308",10,6,1,10,16,2,12,4,6,2,4,11,1,17,5,10,7,1,4,3
"ENSG00000263643",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
