"","GTEX.111VG.0526.SM.5N9BW","GTEX.117XS.0526.SM.5987Q","GTEX.11GSO.0626.SM.5A5LW","GTEX.11NV4.0626.SM.5N9BR","GTEX.132NY.1026.SM.5P9IY","GTEX.13NZ9.1126.SM.5MR37","GTEX.13O21.2226.SM.5MR3L","GTEX.13O3P.0726.SM.5J2OM","GTEX.14ABY.0926.SM.5Q5DY","GTEX.14AS3.0226.SM.5Q5B6","GTEX.14BMU.0226.SM.5S2QA","GTEX.PLZ4.1226.SM.2I5FE","GTEX.R55G.0726.SM.2TC6J","GTEX.WOFL.0726.SM.3MJG4","GTEX.WYBS.1926.SM.3NM8N","GTEX.YFC4.2626.SM.5P9FQ","GTEX.ZLWG.0526.SM.4WWFB","GTEX.ZPCL.0126.SM.4WWC8","GTEX.ZYY3.1926.SM.5GZXS","GTEX.ZZ64.0126.SM.5GZXA"
"ENSG00000223972",1,3,0,3,3,0,1,2,1,0,2,5,3,1,7,1,5,1,6,7
"ENSG00000227232",474,511,544,1301,781,1002,885,808,775,834,423,489,134,837,730,1472,1023,534,1003,732
"ENSG00000243485",1,1,0,1,0,1,1,1,2,1,0,1,1,1,0,1,4,3,1,1
"ENSG00000237613",0,4,3,0,2,0,0,4,0,1,0,3,2,0,1,0,3,0,2,1
"ENSG00000268020",1,0,0,0,1,0,0,1,0,0,2,2,1,0,1,0,1,2,0,0
"ENSG00000240361",1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,4,1,2
"ENSG00000186092",0,0,2,0,2,0,0,1,1,0,0,3,1,2,1,2,2,3,4,3
"ENSG00000238009",3,11,4,5,1,15,15,8,10,6,18,7,3,5,25,38,4,9,8,4
"ENSG00000233750",7,17,5,7,15,19,15,12,2,6,6,100,143,10,6,24,21,14,12,17
"ENSG00000237683",427,947,1129,1132,537,602,271,384,580,445,325,523,366,769,1565,2020,635,158,960,63
"ENSG00000268903",2,4,5,4,2,2,1,5,1,2,1,2,1,4,10,13,1,2,3,0
"ENSG00000239906",6,12,17,2,5,32,5,9,4,2,4,3,5,12,16,25,3,1,8,0
"ENSG00000241860",92,125,35,46,104,96,46,133,69,40,41,183,51,97,80,196,42,29,59,20
"ENSG00000222623",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241599",0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1
"ENSG00000228463",9,27,45,92,11,39,20,9,5,66,42,21,16,90,72,52,76,31,26,10
"ENSG00000237094",46,23,49,16,86,43,40,64,11,38,14,95,12,42,17,70,21,8,29,51
"ENSG00000250575",5,3,3,2,5,6,3,7,1,1,0,2,1,3,3,5,1,4,3,0
"ENSG00000233653",2,5,2,1,6,4,3,9,5,2,2,13,3,1,4,7,7,7,3,11
"ENSG00000224813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235249",2,2,0,0,1,0,1,0,1,0,0,5,1,1,2,3,0,3,1,0
"ENSG00000269732",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
"ENSG00000256186",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000236601",0,0,0,0,0,1,0,1,0,0,1,0,1,2,1,0,3,1,1,1
"ENSG00000236743",1,0,2,1,0,0,1,0,0,2,0,3,0,3,1,0,2,2,4,4
"ENSG00000236679",3,1,0,1,0,1,7,1,3,0,0,7,19,1,2,0,2,5,1,3
"ENSG00000231709",0,1,7,1,0,11,6,0,2,1,2,2,1,2,5,2,1,4,4,5
"ENSG00000235146",2,0,0,19,0,0,0,0,0,1,0,2,0,2,0,1,3,2,0,3
"ENSG00000239664",0,1,0,9,1,0,3,1,0,0,0,0,0,1,0,0,1,1,0,0
"ENSG00000230021",10,3,3,11,2,6,1,0,0,7,4,13,2,1,0,2,6,5,4,2
"ENSG00000223659",2,1,0,0,0,0,1,0,0,0,0,5,1,0,1,0,1,0,0,1
"ENSG00000225972",87,55,33,23,35,4678,56,55,37,33,25,132,191,60,19,54,37289,57,66,73
"ENSG00000225630",31646,9880,6745,8718,13577,8450,14188,6706,10398,9934,7614,12211,2879,15829,10782,12782,11562,12836,48449,9712
"ENSG00000237973",2399,517,345,242,687,136,2635,811,232,2421,821,1117,1529,833,453,483,242492,3738,859,12413
"ENSG00000229344",251,194,156,93,167,85,206,190,125,108,88,651,319,238,116,164,2493,260,345,288
"ENSG00000240409",100,60,46,17,43,15,32,60,36,28,17,84,49,30,23,23,218,103,183,114
"ENSG00000248527",86839,20269,24887,15457,57896,24593,73952,24695,24181,32781,22813,32813,13566,46221,31824,34261,111725,38749,60101,39069
"ENSG00000198744",383,323,187,76,192,43,1770,287,217,146,70,656,274,253,149,183,414,1813,472,291
"ENSG00000268663",0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,2
"ENSG00000185097",2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,1,4,2,2,0
"ENSG00000229376",4,12,16,5,26,20,17,23,13,15,25,37,11,9,14,14,17,18,19,19
"ENSG00000224956",292,229,349,195,483,284,375,560,204,217,130,218,74,450,445,331,132,220,279,241
"ENSG00000235373",16,17,19,11,14,26,18,43,24,8,8,41,7,28,15,31,18,13,16,37
"ENSG00000223181",0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0
"ENSG00000240618",17,4,4,2,1,3,6,5,3,2,0,9,1,7,2,14,0,2,10,3
"ENSG00000229905",0,3,2,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
"ENSG00000228327",90,113,114,43,163,196,225,163,99,75,89,140,51,135,81,313,110,67,46,150
"ENSG00000237491",183,64,97,224,242,342,159,102,90,240,108,110,59,227,170,638,118,98,94,96
"ENSG00000230092",8,13,15,18,21,23,29,10,13,19,18,13,4,16,11,92,10,13,14,18
"ENSG00000269831",0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"ENSG00000240453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000177757",27,19,13,35,12,41,37,34,18,28,42,25,16,57,6,81,165,28,31,45
"ENSG00000225880",421,199,280,503,436,912,316,486,172,347,175,350,86,506,445,1385,198,145,411,191
"ENSG00000228794",865,737,660,802,951,1710,1203,962,1499,660,651,837,334,1347,1333,1475,1868,1154,940,1235
"ENSG00000230368",4,0,2,0,4,58,8,0,4,5,0,3,1,2,1,0,6,2,7,3
"ENSG00000234711",1,3,1,46,3,31,2,0,0,1,0,6,0,0,0,2,5,2,3,1
"ENSG00000269308",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000272438",9,2,2,3,2,7,6,2,3,1,2,6,3,25,3,26,7,1,10,3
"ENSG00000230699",47,6,4,38,11,1393,47,12,28,11,23,42,14,229,49,93,36,13,47,32
"ENSG00000241180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223764",409,85,39,173,153,348,209,46,176,58,117,83,67,722,187,369,157,123,274,279
"ENSG00000187634",876,259,21,625,255,908,291,114,364,165,430,160,152,947,208,573,574,481,501,537
"ENSG00000268179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000188976",2461,2772,3353,4305,3840,4272,3568,3474,3545,2863,3130,3182,1056,4645,4298,5100,4889,3994,2932,3489
"ENSG00000187961",1174,679,635,1490,1011,2519,967,1303,633,1411,968,1092,382,1513,992,2404,902,916,1157,654
"ENSG00000187583",261,90,40,368,95,304,47,124,72,89,133,63,26,210,111,614,47,87,242,117
"ENSG00000187642",96,44,5,181,25,95,13,57,72,18,46,24,27,73,63,207,17,35,105,63
"ENSG00000272512",284,101,44,106,114,234,46,71,127,37,38,70,50,608,60,207,305,105,161,249
"ENSG00000188290",1070,693,250,426,647,391,447,386,616,282,254,174,72,1067,463,417,1072,629,617,449
"ENSG00000231702",4,1,1,0,4,2,4,4,2,15,4,25,2,1,0,5,2,3,0,4
"ENSG00000224969",2,5,0,4,2,6,5,0,1,12,2,29,4,9,8,11,5,5,10,2
"ENSG00000187608",1424,570,367,1051,2832,1650,586,416,1034,716,732,353,155,971,641,1231,790,734,451,593
"ENSG00000188157",12811,13127,34637,10638,20678,21822,17932,14858,17499,10900,9633,17342,2772,13906,24988,13701,21429,23181,8115,22961
"ENSG00000217801",235,129,103,298,171,158,99,97,137,361,86,229,45,187,228,483,146,78,180,37
"ENSG00000273443",10,6,2,2,3,8,0,6,0,0,0,8,0,6,1,11,10,5,3,5
"ENSG00000237330",5,3,3,5,8,6,2,4,2,4,0,7,3,3,0,2,8,2,10,7
"ENSG00000131591",1577,1124,1830,1832,1777,1676,1472,1237,1267,757,640,750,326,2286,2022,2165,1205,1234,1447,1397
"ENSG00000223823",17,4,1,27,1,48,3,1,6,16,15,9,15,4,0,81,6,4,56,2
"ENSG00000207730",0,0,1,0,0,0,3,0,0,3,1,3,0,0,0,1,2,0,0,0
"ENSG00000207607",0,1,1,1,1,0,0,0,0,1,0,0,0,4,0,4,3,0,0,0
"ENSG00000198976",0,0,0,1,0,1,1,0,0,2,1,0,0,0,0,2,3,3,1,1
"ENSG00000272141",29,137,550,158,345,283,510,225,78,478,55,305,120,356,292,501,646,312,156,120
"ENSG00000205231",4,14,7,20,3,12,17,4,2,19,1,9,4,23,5,23,9,18,16,5
"ENSG00000162571",19,40,47,36,29,38,42,25,12,48,3,19,10,49,33,51,23,33,28,29
"ENSG00000186891",154,40,5,566,28,528,28,35,98,154,270,9,83,30,434,1312,24,33,371,8
"ENSG00000186827",269,162,159,382,611,1042,248,237,174,284,328,138,126,427,191,2053,170,339,342,123
"ENSG00000078808",6942,6853,10198,7251,8662,10105,9521,6221,8946,5031,10329,7330,2282,7583,12678,11858,15149,12640,7151,9739
"ENSG00000176022",837,576,1265,1014,1334,1257,1588,538,1271,499,1299,623,324,926,1403,1531,1889,2066,693,1412
"ENSG00000184163",95,29,36,48,64,37,34,38,32,42,41,34,9,80,55,50,66,69,53,50
"ENSG00000260179",24,5,14,13,16,25,28,35,8,29,17,25,18,50,11,28,25,30,21,35
"ENSG00000160087",2614,1585,2150,3297,2873,3685,3106,2477,2186,2342,2710,2202,718,2871,3557,4604,3693,4037,2217,2762
"ENSG00000230415",54,97,116,76,99,144,73,97,53,143,60,186,48,75,78,220,94,31,57,28
"ENSG00000162572",1117,1071,1686,918,1124,1535,972,1004,720,1617,575,1515,297,1130,994,2589,762,404,724,337
"ENSG00000131584",6091,4487,3969,5850,7904,9033,5963,3471,4125,3471,3493,2594,1468,8033,7556,8329,4816,4892,5073,4255
"ENSG00000169972",446,363,418,503,444,664,568,375,360,267,473,278,130,476,638,693,609,694,370,438
"ENSG00000127054",7659,7439,8721,9282,9204,12536,8352,11384,6396,8423,5409,11132,2517,11670,12007,15686,8801,7501,7339,7571
"ENSG00000240731",244,307,224,253,341,453,322,536,187,349,174,552,88,399,255,562,251,183,230,291
"ENSG00000224051",1810,1059,1876,2174,1616,2313,1892,1158,1566,1101,1785,1227,407,1207,2995,2464,2409,2655,1415,1370
"ENSG00000169962",165,67,62,733,118,710,94,52,112,170,391,122,93,73,59,1481,68,69,435,82
"ENSG00000107404",5578,5033,6442,5436,6669,8266,5993,6731,4778,3984,3795,5249,1349,7812,10155,7338,6538,6467,5257,5913
"ENSG00000162576",11325,10474,10995,4820,8112,10450,11825,8029,9702,6480,5679,6604,2803,15284,9338,8207,9466,11056,11335,8342
"ENSG00000175756",2563,2457,2782,3626,3920,3764,3912,2415,3545,2182,3231,2088,743,3016,5738,4725,6568,5886,3260,3421
"ENSG00000223663",0,4,0,3,1,0,3,3,1,0,0,8,1,0,2,6,2,4,2,6
"ENSG00000221978",31465,21391,31983,31627,31935,35364,21634,39301,21288,27951,13873,35425,7756,57754,46449,50646,21473,15993,29759,23707
"ENSG00000224870",768,519,1295,1301,1215,1566,1369,801,1205,739,1078,900,354,1237,1848,2125,1510,1373,968,1268
"ENSG00000242485",1876,1565,2220,2793,3269,3231,3259,2040,2907,1462,2212,1877,675,2904,4256,3884,5306,3686,2199,3244
"ENSG00000272455",273,101,561,363,469,552,330,515,234,459,373,476,191,401,479,1010,187,377,247,321
"ENSG00000235098",724,245,62,1139,416,696,468,185,657,178,448,143,153,768,351,2699,413,517,516,278
"ENSG00000225905",26,0,1,5,10,9,10,1,10,7,4,4,3,12,3,18,2,2,4,5
"ENSG00000205116",3,0,2,1,4,1,2,2,2,2,0,1,2,3,2,5,2,4,1,0
"ENSG00000225285",34,12,4,35,18,46,35,57,9,14,16,7,15,79,20,64,36,14,25,34
"ENSG00000179403",5941,3720,2672,4762,11412,4309,10551,3344,7997,1376,7486,1759,1358,15360,5897,7290,14499,12292,4517,6627
"ENSG00000215915",509,624,1519,1001,1435,1269,873,243,1186,579,272,725,143,1753,1621,885,1259,767,634,542
"ENSG00000160072",2140,1571,1768,2900,3702,3620,2589,3189,1492,2094,618,1495,686,4094,3041,4689,1984,1471,2039,1829
"ENSG00000197785",1393,954,1061,1934,1916,1964,1659,1031,1149,859,1132,677,366,1715,2117,2107,1862,2195,984,1313
"ENSG00000205090",164,125,120,73,143,157,92,194,173,170,62,140,39,107,127,136,109,149,110,59
"ENSG00000160075",3845,4071,6804,5684,6798,6778,6715,3931,7536,3673,4967,6847,1255,5252,8932,6812,9541,8104,5204,7507
"ENSG00000215014",22,18,24,16,54,38,29,23,34,21,15,24,7,23,19,36,44,22,21,20
"ENSG00000236684",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0
"ENSG00000228594",1058,536,946,502,1126,510,426,108,1165,355,390,713,59,328,847,534,357,614,829,167
"ENSG00000272106",668,980,3217,1031,1666,1537,1365,1153,2033,1640,771,2095,316,1071,2292,1675,1822,1372,755,1434
"ENSG00000197530",6806,5692,6823,6503,7722,10027,4910,6129,4441,6824,4112,5901,1503,7281,7284,10175,5525,5075,5435,3771
"ENSG00000189409",40,36,16,44,37,32,13,24,19,15,9,15,12,43,22,54,34,27,65,18
"ENSG00000248333",1579,1253,1632,3184,1955,2639,1828,1732,1603,1306,1448,2224,592,2628,2898,3497,2358,1605,1925,1731
"ENSG00000272004",0,0,1,1,0,0,2,0,1,1,1,0,0,0,0,5,0,2,2,1
"ENSG00000189339",3840,3858,4371,5278,5046,12238,4020,6144,5022,7924,4249,7377,1486,6329,6781,9205,4131,3833,3477,3718
"ENSG00000269737",103,110,44,130,197,618,199,205,112,379,116,91,55,160,57,307,134,90,96,294
"ENSG00000269227",20,25,9,22,34,164,58,53,14,99,24,34,10,22,17,69,26,34,4,86
"ENSG00000215914",24,1,22,23,33,35,23,23,25,2,1,16,1,23,47,43,19,31,22,5
"ENSG00000008128",2502,1930,1931,3346,3041,3576,2226,3474,1947,2050,1847,3296,1094,3861,3642,6308,2370,2034,2358,2318
"ENSG00000227775",646,699,493,657,1186,1215,1010,1255,435,669,583,1189,363,820,659,2317,556,645,688,440
"ENSG00000215790",284,354,233,177,339,415,380,308,328,382,377,542,92,346,334,731,246,183,245,270
"ENSG00000008130",3823,3014,2843,4403,4050,7043,5061,5674,3130,2901,4128,4163,1336,5381,6215,7921,5185,5121,4016,5108
"ENSG00000078369",10927,10952,11029,12661,13437,14852,14922,10947,19502,8018,11257,14982,3583,17615,21907,17576,21090,18199,12116,17396
"ENSG00000231050",21,37,44,29,44,50,51,44,41,19,35,41,9,29,60,37,40,16,28,23
"ENSG00000169885",60,75,105,93,75,136,36,43,67,41,22,66,18,131,73,85,32,25,70,29
"ENSG00000178821",42,33,8,69,16,55,19,25,45,47,24,30,13,11,51,45,72,22,30,22
"ENSG00000142609",7,13,11,6,24,13,19,11,23,7,1,0,2,9,5,31,10,7,14,3
"ENSG00000233542",42,6,22,2,8,20,10,13,6,6,3,3,3,14,24,26,0,6,27,8
"ENSG00000187730",94,69,194,53,130,114,89,40,72,25,78,48,42,220,53,149,60,102,223,34
"ENSG00000226969",1,3,11,1,7,4,7,2,3,2,6,4,3,7,15,0,5,7,2,11
"ENSG00000067606",566,1358,4751,1069,2415,1474,2804,1348,2616,1063,1322,3699,420,1289,2816,1397,3213,3213,975,3449
"ENSG00000271806",13,22,37,17,35,26,65,36,11,20,11,35,11,17,18,27,73,52,29,82
"ENSG00000182873",403,497,494,649,1126,1026,1375,908,370,668,347,737,370,598,443,1113,1132,740,340,1555
"ENSG00000162585",2614,1717,3462,2969,3589,2971,2369,2561,2659,1773,1983,1963,586,2763,4547,3067,3670,3488,2154,2401
"ENSG00000269554",309,147,297,318,371,437,362,360,287,278,223,166,146,313,376,508,603,366,220,547
"ENSG00000203301",47,56,34,49,83,103,54,45,26,40,18,63,20,57,106,89,70,43,44,54
"ENSG00000234396",6,8,5,6,19,6,5,5,4,2,1,8,0,7,15,3,2,3,3,3
"ENSG00000157933",7033,8610,5693,7473,8769,9202,7974,6755,9074,5023,6492,5638,2133,9146,7599,11487,9804,9500,5570,9786
"ENSG00000116151",859,1241,1584,626,1041,1384,900,1436,1196,1319,366,956,151,1118,898,1337,811,590,477,757
"ENSG00000272161",14,36,18,35,48,60,21,22,16,27,14,53,6,34,18,28,16,32,9,13
"ENSG00000269753",19,89,32,52,118,77,38,47,38,38,40,95,15,19,16,67,34,22,6,40
"ENSG00000269896",226,376,325,292,761,707,271,427,228,533,348,847,115,440,367,817,356,249,247,165
"ENSG00000272420",65,12,43,93,72,24,78,34,24,53,12,76,3,75,41,85,20,20,51,26
"ENSG00000271921",13,8,2,7,14,15,5,3,3,2,2,4,2,8,8,10,18,6,0,10
"ENSG00000271847",13,12,11,21,78,28,25,9,18,5,26,8,7,22,32,41,27,13,4,21
"ENSG00000178642",32,64,56,64,50,135,30,33,45,38,44,89,7,44,63,70,77,60,36,78
"ENSG00000157916",6138,4075,5542,7704,8052,10033,7804,6435,7299,5661,6135,6191,2039,7636,9335,13944,9646,8230,5985,8082
"ENSG00000157911",552,457,1064,661,946,848,891,523,1036,484,471,616,110,961,1089,1026,1253,926,619,970
"ENSG00000149527",1697,1175,617,2815,4921,1211,1747,285,3949,782,855,362,372,658,624,4582,162,338,1057,197
"ENSG00000224387",14,9,1,6,63,16,15,4,12,6,2,4,1,2,1,17,2,0,11,2
"ENSG00000229393",7,23,3,10,67,9,40,3,17,11,3,2,0,4,3,31,4,5,10,1
"ENSG00000157881",1712,1225,1525,2105,1850,2442,2091,1984,1754,1477,1516,1170,541,1989,2568,2993,2668,2477,1297,1930
"ENSG00000197921",57,65,29,147,122,47,4,8,93,4,8,10,0,4,16,35,13,14,11,9
"ENSG00000272449",173,63,92,234,55,337,71,72,68,139,110,75,33,78,132,433,110,104,119,44
"ENSG00000238164",1519,533,1028,1841,964,1051,666,720,719,638,824,572,432,1121,1548,3708,289,220,2452,300
"ENSG00000157873",13240,3998,5604,10335,7717,10544,5570,4289,5516,3936,4514,3459,1996,8951,9597,16809,4724,2878,8770,3029
"ENSG00000225931",40,14,4,17,17,28,3,12,14,17,21,9,4,44,2,96,3,2,19,0
"ENSG00000228037",89,11,8,98,22,74,19,18,22,40,19,36,14,40,13,216,14,8,91,5
"ENSG00000157870",1232,822,1244,1572,1332,1945,1478,673,2217,869,979,1006,333,2033,2074,1952,1153,1707,937,844
"ENSG00000142606",69,48,124,92,72,69,77,50,214,36,29,24,3,39,84,53,24,54,33,55
"ENSG00000237058",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000215912",42,35,109,38,150,45,80,44,60,29,27,41,10,42,48,47,80,57,26,42
"ENSG00000233234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169717",1,0,0,0,10,0,0,3,0,2,0,0,0,0,2,0,1,1,1,0
"ENSG00000177133",2146,5096,9320,3419,11467,6517,6275,7791,5637,8993,3667,11122,769,4689,9663,6239,4609,4426,1972,3631
"ENSG00000142611",2064,2755,4682,1617,4593,3809,4287,4634,4017,3885,2265,3641,701,3476,4989,2783,4969,3681,1428,4903
"ENSG00000226286",1,0,3,1,3,5,1,0,5,1,3,5,0,1,0,5,0,1,0,5
"ENSG00000272235",2,15,35,8,36,11,18,0,16,10,12,13,8,17,13,19,20,13,4,22
"ENSG00000130762",1178,1999,2671,1433,2972,2136,2565,2836,2112,2007,1193,2409,341,2018,3754,1858,2320,3546,1305,1670
"ENSG00000272088",4,9,6,22,11,31,5,6,10,16,6,12,3,6,4,11,10,13,3,9
"ENSG00000162591",3117,2621,1284,2352,2302,5367,2554,2420,3340,2558,2089,2359,1280,3670,3892,6040,2250,5861,4424,7301
"ENSG00000207776",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238260",132,30,48,154,175,253,69,80,66,161,47,183,45,209,125,365,21,36,126,30
"ENSG00000158109",2457,2210,3651,2624,2960,4140,3976,2142,4852,2379,2969,4122,823,2894,5584,3965,5754,5555,3155,4033
"ENSG00000116213",1262,1051,1031,1744,1703,1919,1411,1098,1397,973,1265,1010,406,1687,1690,2850,1257,1390,1084,1043
"ENSG00000078900",114,102,89,452,150,332,71,104,113,187,156,158,23,120,130,394,64,89,77,32
"ENSG00000227589",2,1,0,11,1,6,0,0,0,0,2,0,0,0,0,13,2,0,2,1
"ENSG00000235131",0,0,0,0,2,3,2,0,1,3,0,0,1,0,0,3,1,0,0,0
"ENSG00000227372",3836,3524,5194,3487,5077,6750,3474,5999,3529,5105,3340,7870,1149,5223,4788,7154,3548,3219,3612,2990
"ENSG00000162592",1,4,3,3,4,8,6,2,9,6,3,15,2,0,0,9,7,0,1,1
"ENSG00000235169",163,169,317,275,353,268,199,184,385,153,179,156,17,79,378,245,374,244,164,195
"ENSG00000130764",2302,2019,3303,2993,2962,4369,3917,2499,3628,2543,2877,2812,834,2526,3489,4829,5362,4588,2469,3706
"ENSG00000266075",3,4,5,11,10,36,7,11,9,2,11,7,5,5,5,32,2,9,11,10
"ENSG00000272153",59,32,24,94,75,167,81,103,52,78,49,67,20,72,50,208,87,51,44,71
"ENSG00000116198",2016,1170,2136,2491,2553,3121,2117,2088,2614,1955,2004,2702,577,2015,2984,3678,2359,2464,1666,2046
"ENSG00000169598",808,427,732,1071,897,1622,574,615,732,1143,507,1198,263,1032,682,2081,636,440,812,309
"ENSG00000198912",1574,1379,1278,1499,2146,1857,1992,1430,1920,1085,1247,1896,428,1666,2179,2125,2018,1491,924,1839
"ENSG00000236423",10,5,10,33,8,144,11,0,4,15,29,20,17,4,5,160,18,9,4,19
"ENSG00000233304",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"ENSG00000226374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000229280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235054",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000227169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232596",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000196581",842,183,165,168,98,314,117,236,181,105,80,120,90,391,190,371,341,172,170,324
"ENSG00000231510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236948",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000216045",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000131697",1327,2375,5630,1632,2709,2878,3091,2993,1775,1827,2326,4073,592,2969,3961,2960,3301,3044,1631,3779
"ENSG00000266687",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000069424",1990,904,648,5629,925,4018,1252,640,884,1134,3804,1269,1872,1489,1593,9896,1609,1201,2795,1151
"ENSG00000116254",26,41,22,39,26,57,75,42,75,22,6,30,22,126,101,53,14,43,108,64
"ENSG00000116251",10408,13137,17800,12701,11260,16349,11597,10210,24349,10511,7960,18159,2897,14967,27501,24399,16525,13619,15435,13889
"ENSG00000226944",21,29,54,35,26,28,32,29,79,31,7,48,4,10,67,24,33,15,24,16
"ENSG00000158286",2998,2014,2422,2639,2437,4767,2075,2177,2120,2216,1346,3889,729,2304,2627,4709,1754,1759,1845,2055
"ENSG00000116237",2739,2864,3266,2698,4091,4565,5030,2681,6473,2235,2911,3902,1065,5298,5168,3889,5569,6554,3011,4338
"ENSG00000225077",0,2,0,4,5,4,0,0,0,2,9,0,6,4,0,8,0,0,4,1
"ENSG00000173673",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000158292",1081,212,40,453,314,1002,242,334,272,421,364,462,198,896,260,848,589,447,525,371
"ENSG00000097021",421,416,241,966,501,590,464,232,249,200,467,479,174,1334,500,1167,591,561,402,320
"ENSG00000069812",37,4,2,16,0,2,8,2,2,0,3,10,2,41,0,6,4,6,9,4
"ENSG00000187017",68,21,4,88,28,36,15,16,26,28,12,13,4,21,14,39,10,10,36,10
"ENSG00000265392",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231868",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215788",1966,597,527,1513,759,3167,459,824,628,1424,721,695,466,1366,597,6020,438,441,926,145
"ENSG00000171680",3032,1617,2020,2239,1519,3535,1595,2427,2062,2484,1101,1895,689,4099,1879,4005,1853,1667,1689,844
"ENSG00000162408",1066,600,948,1337,1094,1937,1590,1060,1019,1099,1404,1156,500,1121,1222,2586,1693,1484,992,1293
"ENSG00000253022",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"ENSG00000229519",2,2,0,0,6,1,5,7,1,5,4,1,2,4,2,8,8,7,0,2
"ENSG00000173662",2,6,0,13,0,13,6,2,4,6,4,5,6,12,4,29,5,3,7,4
"ENSG00000204859",2316,1296,2160,2770,2582,3400,2369,2372,1853,1722,1530,1673,634,2480,3021,4519,1954,1950,1664,1700
"ENSG00000162413",5162,2877,3409,2275,3185,5315,4487,4006,2637,4974,3540,8023,967,4406,3989,4796,5914,5316,4391,4370
"ENSG00000116273",1566,2257,1885,1041,1177,1677,1192,1446,2090,1608,989,2776,357,1833,1846,1819,1825,1244,1181,1508
"ENSG00000041988",1674,644,892,1005,1104,1787,1062,1060,1099,1090,811,1232,216,1198,1326,1667,1351,1189,1126,839
"ENSG00000007923",1127,910,1439,1234,1526,1883,1743,1147,1561,1044,1407,1546,532,1736,1536,2634,2230,1631,1389,1754
"ENSG00000228750",42,71,4,18,58,13,21,11,19,10,12,12,7,3,2,20,12,12,4,13
"ENSG00000239166",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237436",6,13,12,5,15,9,15,5,16,11,6,25,1,6,21,15,8,18,15,7
"ENSG00000171735",1833,1583,1652,1730,2215,1594,1676,1956,2854,1105,1137,2117,347,1740,3353,1977,2258,2210,1560,1794
"ENSG00000227950",0,0,1,0,0,0,1,3,0,0,0,0,0,2,2,0,1,1,0,0
"ENSG00000237365",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
